dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.173908,24.884926,0.000789,0.078947,3.947368,197.368421,0.001171
0.020000,2.173908,24.884926,0.003947,0.236842,7.894737,197.368421,0.000911
0.020000,2.173908,24.884926,0.010263,0.394737,7.894737,0.000000,0.000390
0.020000,2.178650,24.884925,0.019737,0.552632,7.894737,-0.000000,6.282795
0.020000,2.191281,24.884913,0.032368,0.710526,7.894737,0.000000,6.281755
0.020000,2.207071,24.884880,0.048158,0.868421,7.894737,0.000000,6.280456
0.020000,2.226018,24.884814,0.067105,1.026316,7.894737,0.000000,6.278901
0.020000,2.248123,24.884699,0.089211,1.184211,7.894737,-0.000000,6.277089
0.020000,2.273386,24.884519,0.114474,1.342105,7.894737,0.000000,6.275022
0.020000,2.301805,24.884254,0.142895,1.500000,7.894737,0.000000,6.272702
0.020000,2.333382,24.883882,0.174474,1.657895,7.894737,0.000000,6.270131
0.020000,2.368115,24.883380,0.209211,1.815789,7.894737,0.000000,6.267311
0.020000,2.406004,24.882720,0.247105,1.973684,7.894737,0.000000,6.264245
0.020000,2.447048,24.881875,0.288158,2.131579,7.894737,0.000000,6.260935
0.020000,2.491246,24.880813,0.332368,2.289474,7.894737,0.000000,6.257384
0.020000,2.538596,24.879501,0.379737,2.447368,7.894737,-0.000000,6.253597
0.020000,2.589097,24.877904,0.430263,2.605263,7.894737,0.000000,6.249576
0.020000,2.642747,24.875986,0.483947,2.763158,7.894737,-0.000000,6.245325
0.020000,2.699543,24.873708,0.540789,2.921053,7.894737,0.000000,6.240850
0.020000,2.759483,24.871027,0.600789,3.078947,7.894737,0.000000,6.236155
0.020000,2.822564,24.867903,0.663947,3.236842,7.894737,-0.000000,6.231245
0.020000,2.888781,24.864291,0.730263,3.394737,7.894737,0.000000,6.226127
0.020000,2.958131,24.860144,0.799737,3.552632,7.894737,0.000000,6.220805
0.020000,3.030608,24.855416,0.872368,3.710526,7.894737,0.000000,6.215288
0.020000,3.106208,24.850058,0.948158,3.868421,7.894737,-0.000000,6.209581
0.020000,3.184924,24.844020,1.027105,4.026316,7.894737,0.000000,6.203694
0.020000,3.266750,24.837252,1.109211,4.184211,7.894737,0.000000,6.197632
0.020000,3.351678,24.829701,1.194474,4.342105,7.894737,0.000000,6.191407
0.020000,3.439700,24.821316,1.282895,4.500000,7.894737,0.000000,6.185025
0.020000,3.530808,24.812043,1.374474,4.657895,7.894737,0.000000,6.178498
0.020000,3.624992,24.801829,1.469211,4.815789,7.894737,0.000000,6.171835
0.020000,3.722243,24.790620,1.567105,4.973684,7.894737,0.000000,6.165048
0.020000,3.822549,24.778363,1.668158,5.131579,7.894737,0.000000,6.158146
0.020000,3.925900,24.765003,1.772368,5.289474,7.894737,-0.000000,6.151143
0.020000,4.032282,24.750489,1.879737,5.447368,7.894737,0.000000,6.144051
0.020000,4.141685,24.734767,1.990263,5.605263,7.894737,-0.000000,6.136882
0.020000,4.254093,24.717786,2.103947,5.763158,7.894737,0.000000,6.129650
0.020000,4.369494,24.699495,2.220789,5.921053,7.894737,-0.000000,6.122368
0.020000,4.487096,24.679977,2.340000,6.000000,3.947368,-197.368421,6.115099
0.020000,4.605332,24.659477,2.460000,6.000000,0.000000,-197.368421,6.107947
0.020000,4.723420,24.638142,2.580000,6.000000,0.000000,0.000000,6.100962
0.020000,4.841357,24.615992,2.700000,6.000000,0.000000,0.000000,6.094146
0.020000,4.959144,24.593049,2.820000,6.000000,0.000000,0.000000,6.087500
0.020000,5.076777,24.569334,2.940000,6.000000,0.000000,0.000000,6.081024
0.020000,5.194256,24.544867,3.060000,6.000000,0.000000,0.000000,6.074721
0.020000,5.311580,24.519671,3.180000,6.000000,0.000000,0.000000,6.068591
0.020000,5.428751,24.493766,3.300000,6.000000,0.000000,0.000000,6.062634
0.020000,5.545767,24.467174,3.420000,6.000000,0.000000,0.000000,6.056851
0.020000,5.662630,24.439916,3.540000,6.000000,0.000000,0.000000,6.051243
0.020000,5.779341,24.412013,3.660000,6.000000,0.000000,0.000000,6.045810
0.020000,5.895901,24.383486,3.780000,6.000000,0.000000,0.000000,6.040552
0.020000,6.012311,24.354358,3.900000,6.000000,0.000000,0.000000,6.035470
0.020000,6.128575,24.324648,4.020000,6.000000,0.000000,0.000000,6.030563
0.020000,6.244695,24.294378,4.140000,6.000000,0.000000,0.000000,6.025831
0.020000,6.360672,24.263569,4.260000,6.000000,0.000000,0.000000,6.021275
0.020000,6.476511,24.232243,4.380000,6.000000,0.000000,0.000000,6.016895
0.020000,6.592214,24.200419,4.500000,6.000000,0.000000,0.000000,6.012689
0.020000,6.707786,24.168120,4.620000,6.000000,0.000000,0.000000,6.008659
0.020000,6.823229,24.135364,4.740000,6.000000,0.000000,0.000000,6.004804
0.020000,6.938547,24.102174,4.860000,6.000000,0.000000,0.000000,6.001123
0.020000,7.053746,24.068570,4.980000,6.000000,0.000000,0.000000,5.997616
0.020000,7.168829,24.034572,5.100000,6.000000,0.000000,0.000000,5.994284
0.020000,7.283801,24.000201,5.220000,6.000000,0.000000,0.000000,5.991125
0.020000,7.398667,23.965477,5.340000,6.000000,0.000000,0.000000,5.988140
0.020000,7.513432,23.930420,5.460000,6.000000,0.000000,0.000000,5.985327
0.020000,7.628101,23.895050,5.580000,6.000000,0.000000,0.000000,5.982687
