dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.175249,23.739926,0.000789,0.078947,3.947368,197.368421,0.001171
0.020000,2.174951,23.739926,0.001088,0.014915,-3.201631,-357.449979,0.000911
0.020000,2.174354,23.739926,0.001684,0.029816,0.745049,197.333985,0.000390
0.020000,2.178203,23.739925,0.005532,0.192406,8.129539,369.224527,6.282795
0.020000,2.189643,23.739914,0.016973,0.572039,18.981613,542.603685,6.281755
0.020000,2.203946,23.739885,0.031276,0.715146,7.155377,-591.311803,6.280456
0.020000,2.221112,23.739824,0.048442,0.858306,7.157966,0.129462,6.278901
0.020000,2.241142,23.739720,0.068472,1.001506,7.160025,0.102943,6.277089
0.020000,2.264039,23.739557,0.091369,1.144849,7.167153,0.356431,6.275022
0.020000,2.289802,23.739317,0.117134,1.288241,7.169590,0.121822,6.272702
0.020000,2.318435,23.738980,0.145769,1.431756,7.175733,0.307157,6.270131
0.020000,2.349940,23.738524,0.177277,1.575385,7.181489,0.287808,6.267311
0.020000,2.384319,23.737926,0.211661,1.719207,7.191082,0.479624,6.264245
0.020000,2.421573,23.737158,0.248924,1.863130,7.196155,0.253666,6.260935
0.020000,2.461707,23.736194,0.289069,2.007256,7.206290,0.506757,6.257384
0.020000,2.504722,23.735002,0.332100,2.151580,7.216216,0.496287,6.253597
0.020000,2.550621,23.733551,0.378022,2.296102,7.226104,0.494428,6.249576
0.020000,2.599408,23.731807,0.426840,2.440880,7.238906,0.640097,6.245325
0.020000,2.651084,23.729734,0.478558,2.585895,7.250724,0.590863,6.240850
0.020000,2.705653,23.727293,0.533182,2.731205,7.265498,0.738721,6.236155
0.020000,2.763119,23.724447,0.590718,2.876814,7.280467,0.748464,6.231245
0.020000,2.823484,23.721154,0.651173,3.022731,7.295842,0.768713,6.226127
0.020000,2.886752,23.717371,0.714554,3.169044,7.315632,0.989514,6.220805
0.020000,2.952925,23.713054,0.780868,3.315700,7.332812,0.859033,6.215288
0.020000,3.022008,23.708158,0.850123,3.462771,7.353572,1.037992,6.209581
0.020000,3.094001,23.702636,0.922329,3.610272,7.375017,1.072234,6.203694
0.020000,3.168911,23.696440,0.997494,3.758267,7.399773,1.237790,6.197632
0.020000,3.246738,23.689520,1.075628,3.906722,7.422716,1.147172,6.191407
0.020000,3.327487,23.681828,1.156743,4.055713,7.449583,1.343354,6.185025
0.020000,3.411160,23.673312,1.240848,4.205259,7.477302,1.385925,6.178498
0.020000,3.497760,23.663920,1.327955,4.355380,7.506038,1.436794,6.171835
0.020000,3.587290,23.653601,1.418078,4.506140,7.537982,1.597222,6.165048
0.020000,3.679753,23.642302,1.511229,4.657524,7.569210,1.561395,6.158146
0.020000,3.775151,23.629970,1.607420,4.809591,7.603358,1.707404,6.151143
0.020000,3.873487,23.616554,1.706668,4.962362,7.638564,1.760279,6.144051
0.020000,3.974764,23.601999,1.808985,5.115879,7.675816,1.862635,6.136882
0.020000,4.078985,23.586255,1.914388,5.270149,7.713515,1.884941,6.129650
0.020000,4.186151,23.569269,2.022893,5.425220,7.753535,2.000972,6.122368
0.020000,4.295542,23.551114,2.133780,5.544361,5.957087,-89.822369,6.115099
0.020000,4.405709,23.532013,2.245590,5.590532,2.308525,-182.428093,6.107947
0.020000,4.515927,23.512099,2.357593,5.600107,0.478740,-91.489281,6.100962
0.020000,4.626194,23.491390,2.469788,5.609763,0.482832,0.204590,6.094146
0.020000,4.736511,23.469902,2.582178,5.619492,0.486461,0.181490,6.087500
0.020000,4.846876,23.447652,2.694763,5.629286,0.489685,0.161165,6.081024
0.020000,4.957289,23.424657,2.807546,5.639134,0.492392,0.135374,6.074721
0.020000,5.067751,23.400934,2.920527,5.649029,0.494751,0.117918,6.068591
0.020000,5.178262,23.376502,3.033706,5.658964,0.496769,0.100942,6.062634
0.020000,5.288822,23.351377,3.147085,5.668933,0.498443,0.083673,6.056851
0.020000,5.399431,23.325577,3.260663,5.678929,0.499772,0.066450,6.051243
0.020000,5.510092,23.299120,3.374442,5.688944,0.500761,0.049448,6.045810
0.020000,5.620804,23.272025,3.488422,5.698976,0.501592,0.041563,6.040552
0.020000,5.731569,23.244309,3.602602,5.709018,0.502124,0.026615,6.035470
0.020000,5.842389,23.215990,3.716983,5.719067,0.502426,0.015099,6.030563
0.020000,5.953266,23.187087,3.831566,5.729117,0.502520,0.004667,6.025831
0.020000,6.064202,23.157617,3.946349,5.739163,0.502297,-0.011111,6.021275
0.020000,6.175199,23.127600,4.061333,5.749205,0.502111,-0.009322,6.016895
0.020000,6.286259,23.097053,4.176518,5.759240,0.501746,-0.018271,6.012689
0.020000,6.397386,23.065996,4.291903,5.769265,0.501213,-0.026642,6.008659
0.020000,6.508583,23.034445,4.407489,5.779276,0.500569,-0.032187,6.004804
0.020000,6.619851,23.002421,4.523274,5.789273,0.499832,-0.036866,6.001123
0.020000,6.731196,22.969941,4.639259,5.799249,0.498847,-0.049245,5.997616
0.020000,6.842619,22.937024,4.755443,5.809212,0.498135,-0.035590,5.994284
0.020000,6.954126,22.903689,4.871827,5.819157,0.497226,-0.045450,5.991125
0.020000,7.065720,22.869954,4.988408,5.829082,0.496274,-0.047616,5.988140
0.020000,7.177405,22.835837,5.105188,5.838988,0.495301,-0.048612,5.985327
0.020000,7.289186,22.801358,5.222165,5.848875,0.494322,-0.048993,5.982687
0.020000,7.401067,22.766535,5.339340,5.858740,0.493245,-0.053827,5.980220
0.020000,7.513052,22.731387,5.456712,5.868587,0.492351,-0.044706,5.977925
0.020000,7.625147,22.695932,5.574280,5.878416,0.491464,-0.044347,5.975801
0.020000,7.737357,22.660189,5.692045,5.888227,0.490562,-0.045077,5.973849
0.020000,7.849686,22.624177,5.810005,5.898021,0.489703,-0.042989,5.972067
0.020000,7.962139,22.587915,5.928161,5.907799,0.488892,-0.040518,5.970457
0.020000,8.074724,22.551421,6.046512,5.917562,0.488138,-0.037701,5.969017
0.020000,8.187443,22.514714,6.165059,5.927309,0.487372,-0.038290,5.967747
0.020000,8.300305,22.477813,6.283800,5.937046,0.486839,-0.026654,5.966648
0.020000,8.413314,22.440737,6.402735,5.946772,0.486295,-0.027236,5.965718
0.020000,8.526476,22.403504,6.521865,5.956488,0.485822,-0.023639,5.964958
0.020000,8.639797,22.366135,6.641189,5.966197,0.485430,-0.019618,5.964367
0.020000,8.753284,22.328647,6.760707,5.975899,0.485120,-0.015455,5.963946
0.020000,8.866942,22.291060,6.880419,5.985597,0.484897,-0.011180,5.963695
0.020000,8.980778,22.253394,7.000324,5.995292,0.484760,-0.006825,5.963613
