dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.600000,24.800000,0.000789,0.078947,3.947368,197.368421,0.001103
0.020000,1.600000,24.800000,0.003947,0.236842,7.894737,197.368421,0.000867
0.020000,1.600000,24.800000,0.010263,0.394737,7.894737,0.000000,0.000393
0.020000,1.604228,24.799999,0.019737,0.552632,7.894737,-0.000000,6.282869
0.020000,1.616860,24.799989,0.032368,0.710526,7.894737,0.000000,6.281923
0.020000,1.632649,24.799960,0.048158,0.868421,7.894737,0.000000,6.280743
0.020000,1.651597,24.799900,0.067105,1.026316,7.894737,0.000000,6.279329
0.020000,1.673702,24.799797,0.089211,1.184211,7.894737,-0.000000,6.277681
0.020000,1.698964,24.799634,0.114474,1.342105,7.894737,0.000000,6.275803
0.020000,1.727384,24.799394,0.142895,1.500000,7.894737,0.000000,6.273694
0.020000,1.758961,24.799058,0.174474,1.657895,7.894737,0.000000,6.271358
0.020000,1.793695,24.798602,0.209211,1.815789,7.894737,0.000000,6.268795
0.020000,1.831585,24.798004,0.247105,1.973684,7.894737,0.000000,6.266009
0.020000,1.872631,24.797237,0.288158,2.131579,7.894737,0.000000,6.263002
0.020000,1.916831,24.796274,0.332368,2.289474,7.894737,0.000000,6.259776
0.020000,1.964184,24.795084,0.379737,2.447368,7.894737,-0.000000,6.256336
0.020000,2.014690,24.793635,0.430263,2.605263,7.894737,0.000000,6.252683
0.020000,2.068346,24.791894,0.483947,2.763158,7.894737,-0.000000,6.248823
0.020000,2.125150,24.789826,0.540789,2.921053,7.894737,0.000000,6.244758
0.020000,2.185100,24.787393,0.600789,3.078947,7.894737,0.000000,6.240494
0.020000,2.248194,24.784556,0.663947,3.236842,7.894737,-0.000000,6.236035
0.020000,2.314429,24.781276,0.730263,3.394737,7.894737,0.000000,6.231386
0.020000,2.383801,24.777511,0.799737,3.552632,7.894737,0.000000,6.226553
0.020000,2.456305,24.773218,0.872368,3.710526,7.894737,0.000000,6.221541
0.020000,2.531938,24.768353,0.948158,3.868421,7.894737,-0.000000,6.216357
0.020000,2.610695,24.762870,1.027105,4.026316,7.894737,0.000000,6.211007
0.020000,2.692569,24.756723,1.109211,4.184211,7.894737,0.000000,6.205499
0.020000,2.777556,24.749865,1.194474,4.342105,7.894737,0.000000,6.199840
0.020000,2.865649,24.742248,1.282895,4.500000,7.894737,0.000000,6.194038
0.020000,2.956839,24.733824,1.374474,4.657895,7.894737,0.000000,6.188102
0.020000,3.051120,24.724543,1.469211,4.815789,7.894737,0.000000,6.182039
0.020000,3.148483,24.714357,1.567105,4.973684,7.894737,0.000000,6.175861
0.020000,3.248920,24.703215,1.668158,5.131579,7.894737,0.000000,6.169575
0.020000,3.352420,24.691070,1.772368,5.289474,7.894737,-0.000000,6.163192
0.020000,3.458974,24.677872,1.879737,5.447368,7.894737,0.000000,6.156724
0.020000,3.568571,24.663572,1.990263,5.605263,7.894737,-0.000000,6.150181
0.020000,3.681200,24.648123,2.103947,5.763158,7.894737,0.000000,6.143574
0.020000,3.796850,24.631477,2.220789,5.921053,7.894737,-0.000000,6.136916
0.020000,3.914729,24.613709,2.340000,6.000000,3.947368,-197.368421,6.130262
0.020000,4.033268,24.595040,2.460000,6.000000,0.000000,-197.368421,6.123708
0.020000,4.151683,24.575602,2.580000,6.000000,0.000000,0.000000,6.117298
0.020000,4.269972,24.555415,2.700000,6.000000,0.000000,0.000000,6.111035
0.020000,4.388135,24.534496,2.820000,6.000000,0.000000,0.000000,6.104920
0.020000,4.506168,24.512864,2.940000,6.000000,0.000000,0.000000,6.098952
0.020000,4.624073,24.490536,3.060000,6.000000,0.000000,0.000000,6.093134
0.020000,4.741847,24.467532,3.180000,6.000000,0.000000,0.000000,6.087465
0.020000,4.859491,24.443869,3.300000,6.000000,0.000000,0.000000,6.081947
0.020000,4.977004,24.419566,3.420000,6.000000,0.000000,0.000000,6.076580
0.020000,5.094387,24.394642,3.540000,6.000000,0.000000,0.000000,6.071363
0.020000,5.211640,24.369114,3.660000,6.000000,0.000000,0.000000,6.066299
0.020000,5.328764,24.343002,3.780000,6.000000,0.000000,0.000000,6.061386
0.020000,5.445761,24.316324,3.900000,6.000000,0.000000,0.000000,6.056626
0.020000,5.562632,24.289098,4.020000,6.000000,0.000000,0.000000,6.052017
0.020000,5.679378,24.261342,4.140000,6.000000,0.000000,0.000000,6.047561
