dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.601263,23.655001,0.000789,0.078947,3.947368,197.368421,0.001103
0.020000,1.600992,23.655000,0.001061,0.013561,-3.269335,-360.835178,0.000867
0.020000,1.600450,23.655000,0.001603,0.027109,0.677401,197.336812,0.000393
0.020000,1.603866,23.654999,0.005019,0.170783,7.183698,325.314830,6.282869
0.020000,1.615415,23.654990,0.016567,0.577444,20.333089,657.469580,6.281923
0.020000,1.629853,23.654964,0.031005,0.721900,7.222784,-655.515288,6.280743
0.020000,1.647181,23.654909,0.048334,0.866408,7.225418,0.131742,6.279329
0.020000,1.667400,23.654814,0.068553,1.010961,7.227638,0.110981,6.277681
0.020000,1.690511,23.654665,0.091665,1.155612,7.232563,0.246256,6.275803
0.020000,1.716517,23.654446,0.117672,1.300339,7.236311,0.187405,6.273694
0.020000,1.745419,23.654138,0.146576,1.445185,7.242306,0.299758,6.271358
0.020000,1.777219,23.653721,0.178378,1.590145,7.247983,0.283839,6.268795
0.020000,1.811919,23.653173,0.213083,1.735213,7.253446,0.273138,6.266009
0.020000,1.849522,23.652471,0.250692,1.880479,7.263267,0.491075,6.263002
0.020000,1.890030,23.651588,0.291210,2.025862,7.269186,0.295927,6.259776
0.020000,1.933445,23.650496,0.334638,2.171437,7.278730,0.477196,6.256336
0.020000,1.979770,23.649167,0.380982,2.317201,7.288207,0.473864,6.252683
0.020000,2.029008,23.647570,0.430246,2.463196,7.299740,0.576657,6.248823
0.020000,2.081161,23.645671,0.482434,2.609394,7.309894,0.507668,6.244758
0.020000,2.136234,23.643436,0.537552,2.755878,7.324224,0.716501,6.240494
0.020000,2.194227,23.640829,0.595604,2.902603,7.336255,0.601589,6.236035
0.020000,2.255145,23.637812,0.656597,3.049649,7.352256,0.800048,6.231386
0.020000,2.318991,23.634347,0.720536,3.196973,7.366226,0.698473,6.226553
0.020000,2.385767,23.630393,0.787429,3.344658,7.384267,0.902039,6.221541
0.020000,2.455477,23.625909,0.857283,3.492687,7.401419,0.857630,6.216357
0.020000,2.528123,23.620851,0.930105,3.641101,7.420711,0.964592,6.211007
0.020000,2.603709,23.615176,1.005903,3.789914,7.440633,0.996085,6.205499
0.020000,2.682237,23.608840,1.084687,3.939185,7.463555,1.146104,6.199840
0.020000,2.763711,23.601795,1.166465,4.088880,7.484779,1.061228,6.194038
0.020000,2.848132,23.593996,1.251246,4.239068,7.509365,1.229262,6.188102
0.020000,2.935505,23.585395,1.339041,4.389761,7.534677,1.265603,6.182039
0.020000,3.025832,23.575945,1.429861,4.540978,7.560847,1.308520,6.175861
0.020000,3.119115,23.565597,1.523716,4.692772,7.589700,1.442643,6.169575
0.020000,3.215357,23.554303,1.620619,4.845130,7.617870,1.408491,6.163192
0.020000,3.314561,23.542016,1.720581,4.998101,7.648590,1.536035,6.156724
0.020000,3.416729,23.528685,1.823615,5.151705,7.680169,1.578950,6.150181
0.020000,3.521864,23.514264,1.929734,5.305966,7.713060,1.644515,6.143574
0.020000,3.629968,23.498704,2.038952,5.460910,7.747205,1.707251,6.136916
0.020000,3.740314,23.482071,2.150544,5.579581,5.933528,-90.683818,6.130262
0.020000,3.851439,23.464569,2.263039,5.624744,2.258181,-183.767371,6.123708
0.020000,3.962612,23.446321,2.375700,5.633057,0.415627,-92.127688,6.117298
0.020000,4.073833,23.427340,2.488529,5.641434,0.418880,0.162643,6.111035
0.020000,4.185100,23.407641,2.601526,5.649870,0.421793,0.145624,6.104920
0.020000,4.296413,23.387240,2.714693,5.658358,0.424381,0.129408,6.098952
0.020000,4.407772,23.366152,2.828031,5.666891,0.426661,0.114008,6.093134
0.020000,4.519176,23.344392,2.941540,5.675464,0.428657,0.099806,6.087465
0.020000,4.630625,23.321975,3.055222,5.684071,0.430335,0.083909,6.081947
0.020000,4.742120,23.298917,3.169076,5.692707,0.431791,0.072813,6.076580
0.020000,4.853660,23.275233,3.283103,5.701367,0.433008,0.060816,6.071363
0.020000,4.965247,23.250939,3.397304,5.710047,0.433998,0.049514,6.066299
0.020000,5.076881,23.226051,3.511679,5.718742,0.434778,0.039017,6.061386
0.020000,5.188564,23.200584,3.626228,5.727450,0.435365,0.029309,6.056626
0.020000,5.300295,23.174556,3.740951,5.736165,0.435772,0.020375,6.052017
0.020000,5.412077,23.147980,3.855849,5.744885,0.436016,0.012197,6.047561
0.020000,5.523911,23.120874,3.970921,5.753606,0.436047,0.001544,6.043257
0.020000,5.635799,23.093254,4.086168,5.762327,0.436034,-0.000660,6.039106
0.020000,5.747743,23.065136,4.201589,5.771045,0.435901,-0.006641,6.035107
0.020000,5.859744,23.036536,4.317184,5.779758,0.435636,-0.013253,6.031260
0.020000,5.971805,23.007469,4.432953,5.788463,0.435276,-0.017986,6.027565
0.020000,6.083928,22.977953,4.548896,5.797160,0.434834,-0.022101,6.024022
0.020000,6.196117,22.948004,4.665013,5.805846,0.434322,-0.025627,6.020631
0.020000,6.308372,22.917638,4.781304,5.814521,0.433750,-0.028588,6.017391
0.020000,6.420698,22.886871,4.897767,5.823183,0.433092,-0.032910,6.014303
0.020000,6.533098,22.855719,5.014404,5.831831,0.432384,-0.035375,6.011365
0.020000,6.645574,22.824199,5.131213,5.840467,0.431786,-0.029883,6.008579
0.020000,6.758131,22.792328,5.248195,5.849088,0.431082,-0.035203,6.005943
0.020000,6.870771,22.760121,5.365349,5.857696,0.430367,-0.035746,6.003457
