dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.502173,14.691460,0.000789,0.078947,3.947368,197.368421,0.000787
0.020000,5.502343,14.691460,0.000959,0.008494,-3.522652,-373.501012,0.000638
0.020000,5.502683,14.691461,0.001299,0.016999,0.425210,197.393103,0.000342
0.020000,5.505410,14.691461,0.004026,0.136331,5.966639,277.071439,6.283081
0.020000,5.518723,14.691455,0.017339,0.665674,26.467150,1025.025537,6.282486
0.020000,5.535367,14.691437,0.033984,0.832206,8.326588,-907.028096,6.281739
0.020000,5.555342,14.691400,0.053959,0.998754,8.327392,0.040226,6.280842
0.020000,5.578651,14.691333,0.077267,1.165420,8.333324,0.296580,6.279791
0.020000,5.605296,14.691226,0.103912,1.332258,8.341869,0.427248,6.278584
0.020000,5.635276,14.691068,0.133893,1.499040,8.339092,-0.138846,6.277222
0.020000,5.668596,14.690844,0.167214,1.666030,8.349499,0.520361,6.275700
0.020000,5.705259,14.690538,0.203878,1.833219,8.359469,0.498489,6.274016
0.020000,5.745268,14.690135,0.243889,2.000562,8.367162,0.384658,6.272169
0.020000,5.788626,14.689613,0.287250,2.168029,8.373362,0.309988,6.270154
0.020000,5.835333,14.688954,0.333962,2.335600,8.378507,0.257230,6.267968
0.020000,5.885397,14.688133,0.384033,2.503550,8.397519,0.950628,6.265608
0.020000,5.938821,14.687126,0.437466,2.671650,8.404995,0.373777,6.263069
0.020000,5.995607,14.685906,0.494265,2.839958,8.415428,0.521691,6.260348
0.020000,6.055762,14.684445,0.554438,3.008633,8.433737,0.915432,6.257440
0.020000,6.119289,14.682711,0.617988,3.177531,8.444883,0.557272,6.254339
0.020000,6.186193,14.680670,0.684923,3.346758,8.461339,0.822835,6.251041
0.020000,6.256478,14.678287,0.755249,3.516295,8.476878,0.776962,6.247538
0.020000,6.330151,14.675523,0.828974,3.686236,8.497045,1.008305,6.243826
0.020000,6.407216,14.672337,0.906105,3.856525,8.514426,0.869078,6.239896
0.020000,6.487678,14.668684,0.986650,4.027263,8.536903,1.123839,6.235742
0.020000,6.571543,14.664518,1.070618,4.198409,8.557324,1.021041,6.231357
0.020000,6.658818,14.659789,1.158021,4.370130,8.586023,1.434972,6.226730
0.020000,6.749505,14.654443,1.248865,4.542242,8.605614,0.979526,6.221855
0.020000,6.843614,14.648422,1.343167,4.715058,8.640826,1.760611,6.216720
0.020000,6.941145,14.641666,1.440932,4.888272,8.660703,0.993868,6.211317
0.020000,7.042108,14.634109,1.542177,5.062273,8.700017,1.965701,6.205633
0.020000,7.146506,14.625684,1.646914,5.236840,8.728358,1.417035,6.199657
0.020000,7.254342,14.616315,1.755157,5.412130,8.764506,1.807414,6.193377
0.020000,7.365623,14.605925,1.866922,5.588252,8.806104,2.079878,6.186779
0.020000,7.480351,14.594430,1.982224,5.765113,8.843064,1.848008,6.179849
0.020000,7.598531,14.581741,2.101083,5.942942,8.891426,2.418112,6.172572
0.020000,7.720162,14.567763,2.223515,6.121588,8.932294,2.043365,6.164932
0.020000,7.845248,14.552394,2.349542,6.301359,8.988539,2.812253,6.156910
0.020000,7.972941,14.535642,2.478329,6.439355,6.899809,-104.436464,6.148546
0.020000,8.101548,14.517659,2.608187,6.492894,2.676983,-211.141301,6.139936
0.020000,8.230212,14.498525,2.738266,6.503970,0.553796,-106.159356,6.131133
0.020000,8.358927,14.478210,2.868574,6.515381,0.570532,0.836771,6.122129
0.020000,8.487684,14.456684,2.999118,6.527199,0.590891,1.017947,6.112921
0.020000,8.616471,14.433919,3.129902,6.539186,0.599354,0.423168,6.103503
0.020000,8.745277,14.409884,3.260931,6.551484,0.614898,0.777193,6.093869
0.020000,8.874091,14.384545,3.392213,6.564089,0.630281,0.769147,6.084016
0.020000,9.002898,14.357872,3.523753,6.576999,0.645458,0.758880,6.073937
0.020000,9.131685,14.329831,3.655557,6.590206,0.660383,0.746218,6.063627
0.020000,9.260435,14.300389,3.787631,6.603706,0.675002,0.730977,6.053081
0.020000,9.389133,14.269510,3.919981,6.617492,0.689261,0.712963,6.042295
0.020000,9.517758,14.237161,4.052612,6.631554,0.703101,0.691972,6.031262
0.020000,9.646293,14.203306,4.185531,6.645949,0.719756,0.832748,6.019978
0.020000,9.774717,14.167908,4.318744,6.660629,0.734038,0.714106,6.008439
0.020000,9.903004,14.130931,4.452253,6.675481,0.742568,0.426510,5.996639
0.020000,10.031130,14.092339,4.586066,6.690621,0.757013,0.722239,5.984575
0.020000,10.159072,14.052094,4.720188,6.706084,0.773149,0.806822,5.972241
0.020000,10.286796,14.010161,4.854619,6.721597,0.775658,0.125411,5.959635
0.020000,10.414277,13.966499,4.989370,6.737536,0.796916,1.062904,5.946753
0.020000,10.541478,13.921075,5.124439,6.753437,0.795077,-0.091952,5.933591
0.020000,10.668368,13.873849,5.259832,6.769643,0.810296,0.760945,5.920147
0.020000,10.794908,13.824786,5.395550,6.785914,0.813552,0.162809,5.906418
0.020000,10.921057,13.773851,5.531595,6.802242,0.816398,0.142290,5.892404
0.020000,11.046777,13.721007,5.667969,6.818693,0.822546,0.307434,5.878102
0.020000,11.172022,13.666220,5.804672,6.835176,0.824172,0.081311,5.863513
0.020000,11.296744,13.609458,5.941704,6.851585,0.820430,-0.187129,5.848637
0.020000,11.420896,13.550690,6.079063,6.867935,0.817486,-0.147183,5.833476
0.020000,11.544426,13.489885,6.216746,6.884172,0.811888,-0.279902,5.818030
0.020000,11.667279,13.427016,6.354751,6.900242,0.803493,-0.419744,5.802304
0.020000,11.789398,13.362057,6.493073,6.916086,0.792169,-0.566229,5.786301
0.020000,11.910726,13.294985,6.631705,6.931642,0.777794,-0.718740,5.770027
0.020000,12.031201,13.225780,6.770642,6.946847,0.760263,-0.876520,5.753487
0.020000,12.150759,13.154425,6.909875,6.961637,0.739490,-1.038662,5.736688
0.020000,12.269336,13.080906,7.049394,6.975945,0.715408,-1.204111,5.719639
0.020000,12.386864,13.005213,7.189188,6.989704,0.687975,-1.371659,5.702350
0.020000,12.503277,12.927339,7.329246,7.002892,0.659399,-1.428771,5.684831
0.020000,12.618503,12.847284,7.469553,7.015348,0.622793,-1.830312,5.667094
0.020000,12.732473,12.765048,7.610094,7.027051,0.585170,-1.881141,5.649152
0.020000,12.845115,12.680639,7.750853,7.037939,0.544370,-2.040021,5.631020
0.020000,12.956359,12.594069,7.891812,7.047977,0.501927,-2.122167,5.612714
0.020000,13.066133,12.505355,8.032953,7.057041,0.453161,-2.438271,5.594248
0.020000,13.174368,12.414517,8.174255,7.065106,0.403253,-2.495390,5.575642
0.020000,13.280994,12.321582,8.315698,7.072133,0.351354,-2.594978,5.556913
0.020000,13.385944,12.226581,8.457259,7.078056,0.296137,-2.760858,5.538080
0.020000,13.489151,12.129551,8.598916,7.082843,0.239354,-2.839144,5.519164
0.020000,13.590554,12.030532,8.740645,7.086461,0.180912,-2.922101,5.500185
0.020000,13.690090,11.929569,8.882423,7.088880,0.120946,-2.998300,5.481163
0.020000,13.787704,11.826713,9.024225,7.090101,0.061082,-2.993204,5.462120
0.020000,13.883341,11.722017,9.166027,7.090104,0.000116,-3.048258,5.443077
0.020000,13.976952,11.615538,9.307804,7.088859,-0.062249,-3.118288,5.424055
0.020000,14.068491,11.507336,9.449533,7.086438,-0.121055,-2.940266,5.405076
0.020000,14.157919,11.397476,9.591189,7.082828,-0.180504,-2.972494,5.386161
0.020000,14.245198,11.286022,9.732750,7.078050,-0.238885,-2.919045,5.367328
0.020000,14.330296,11.173045,9.874192,7.072088,-0.298070,-2.959220,5.348600
0.020000,14.413189,11.058611,10.015494,7.065081,-0.350389,-2.615940,5.329994
0.020000,14.493854,10.942793,10.156634,7.057025,-0.402801,-2.620603,5.311529
0.020000,14.572275,10.825663,10.297594,7.047972,-0.452638,-2.491871,5.293222
0.020000,14.648441,10.707290,10.438353,7.037980,-0.499617,-2.348952,5.275089
0.020000,14.722346,10.587748,10.578895,7.027110,-0.543487,-2.193482,5.257147
0.020000,14.793986,10.467108,10.719204,7.015429,-0.584030,-2.027185,5.239408
0.020000,14.863365,10.345439,10.859264,7.003008,-0.621067,-1.851842,5.221887
0.020000,14.930491,10.222810,10.999062,6.989919,-0.654452,-1.669253,5.204594
0.020000,14.995373,10.099290,11.138586,6.976200,-0.685916,-1.573202,5.187542
0.020000,15.058026,9.974945,11.277824,6.961879,-0.716077,-1.508015,5.170738
0.020000,15.118469,9.849836,11.416768,6.947194,-0.734224,-0.907351,5.154192
0.020000,15.176723,9.724027,11.555410,6.932116,-0.753938,-0.985734,5.137910
0.020000,15.232812,9.597578,11.693740,6.916511,-0.780249,-1.315524,5.121898
0.020000,15.286765,9.470542,11.831758,6.900897,-0.780679,-0.021485,5.106162
0.020000,15.338608,9.342980,11.969453,6.884749,-0.807406,-1.336378,5.090705
0.020000,15.388376,9.214937,12.106828,6.868717,-0.801596,0.290530,5.075531
0.020000,15.436099,9.086466,12.243876,6.852424,-0.814677,-0.654085,5.060640
0.020000,15.481813,8.957615,12.380597,6.836038,-0.819295,-0.230867,5.046035
0.020000,15.525555,8.828424,12.516992,6.819730,-0.815403,0.194586,5.031716
0.020000,15.567360,8.698937,12.653060,6.803418,-0.815578,-0.008744,5.017681
0.020000,15.607267,8.569193,12.788803,6.787149,-0.813477,0.105057,5.003931
0.020000,15.645313,8.439228,12.924222,6.770965,-0.809195,0.214076,4.990463
0.020000,15.681538,8.309077,13.059320,6.754908,-0.802831,0.318181,4.977276
0.020000,15.715981,8.178772,13.194101,6.739018,-0.794486,0.417284,4.964366
0.020000,15.748680,8.048341,13.328567,6.723333,-0.784259,0.511339,4.951731
0.020000,15.779675,7.917813,13.462725,6.707888,-0.772252,0.600332,4.939367
0.020000,15.809003,7.787216,13.596575,6.692480,-0.770398,0.092734,4.927269
0.020000,15.836705,7.656572,13.730124,6.677463,-0.750834,0.978162,4.915435
0.020000,15.862818,7.525900,13.863379,6.662762,-0.735091,0.787185,4.903859
0.020000,15.887379,7.395227,13.996341,6.648084,-0.733887,0.060193,4.892536
0.020000,15.910338,7.265080,14.128498,6.607834,-2.012472,-63.929256,4.881506
0.020000,15.931530,7.136850,14.258466,6.498427,-5.470393,-172.896030,4.870873
0.020000,15.950870,7.011759,14.385044,6.328878,-8.477430,-150.351886,4.860719
0.020000,15.968438,6.890159,14.507906,6.143112,-9.288320,-40.544501,4.851050
0.020000,15.984365,6.772053,14.627081,5.958759,-9.217628,3.534602,4.841846
0.020000,15.998773,6.657447,14.742589,5.775400,-9.167948,2.484017,4.833085
0.020000,16.011777,6.546341,14.854453,5.593215,-9.109232,2.935814,4.824749
0.020000,16.023486,6.438736,14.962694,5.412029,-9.059340,2.494606,4.816820
0.020000,16.034000,6.334628,15.067331,5.231870,-9.007932,2.570387,4.809282
0.020000,16.043414,6.234020,15.168379,5.052378,-8.974598,1.666689,4.802118
0.020000,16.051818,6.136904,15.265858,4.873963,-8.920760,2.691914,4.795313
0.020000,16.059295,6.043275,15.359785,4.696323,-8.881975,1.939259,4.788854
0.020000,16.065923,5.953129,15.450174,4.519481,-8.842115,1.992963,4.782727
0.020000,16.071776,5.866464,15.537037,4.343119,-8.818091,1.201231,4.776919
0.020000,16.076922,5.783268,15.620392,4.167764,-8.767785,2.515275,4.771421
0.020000,16.081425,5.703541,15.700246,3.992691,-8.753610,0.708779,4.766219
0.020000,16.085346,5.627274,15.776614,3.818409,-8.714100,1.975487,4.761305
0.020000,16.088741,5.554463,15.849503,3.644470,-8.696945,0.857728,4.756670
0.020000,16.091663,5.485100,15.918928,3.471244,-8.661316,1.781477,4.752303
0.020000,16.094159,5.419179,15.984897,3.298425,-8.640969,1.017344,4.748197
0.020000,16.096277,5.356693,16.047418,3.126088,-8.616830,1.206943,4.744345
0.020000,16.098058,5.297639,16.106499,2.954041,-8.602334,0.724811,4.740738
0.020000,16.099542,5.242011,16.162147,2.782378,-8.583183,0.957529,4.737372
0.020000,16.100764,5.189802,16.214371,2.611190,-8.559406,1.188847,4.734238
0.020000,16.101760,5.141007,16.263175,2.440217,-8.548610,0.539832,4.731333
0.020000,16.102559,5.095621,16.308569,2.269692,-8.526290,1.116004,4.728651
0.020000,16.103190,5.053642,16.350552,2.099155,-8.526855,-0.028291,4.726186
0.020000,16.103678,5.015063,16.389134,1.929104,-8.502521,1.216724,4.723936
0.020000,16.104049,4.979884,16.424315,1.759042,-8.503097,-0.028823,4.721895
0.020000,16.104322,4.948097,16.456103,1.589416,-8.481294,1.090180,4.720061
0.020000,16.104516,4.919699,16.484502,1.419934,-8.474132,0.358103,4.718430
0.020000,16.104650,4.894686,16.509515,1.250651,-8.464146,0.499292,4.716999
0.020000,16.104736,4.873061,16.531141,1.081285,-8.468266,-0.205984,4.715766
