dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.503074,13.546461,0.000785,0.078523,3.926146,196.307281,6.283123
0.020000,5.504228,13.546461,0.003926,0.235569,7.852291,196.307281,0.000036
0.020000,5.510509,13.546462,0.010208,0.392615,7.852291,0.000000,0.000234
0.020000,5.519932,13.546465,0.019631,0.549660,7.852291,-0.000000,0.000530
0.020000,5.532496,13.546474,0.032194,0.706706,7.852291,0.000000,0.000921
0.020000,5.548200,13.546493,0.047899,0.863752,7.852291,-0.000000,0.001407
0.020000,5.567046,13.546524,0.066744,1.020798,7.852291,0.000000,0.001983
0.020000,5.589032,13.546575,0.088731,1.177844,7.852291,0.000000,0.002648
0.020000,5.614160,13.546651,0.113858,1.334890,7.852291,-0.000000,0.003398
0.020000,5.642428,13.546759,0.142126,1.491935,7.852291,0.000000,0.004228
0.020000,5.673836,13.546906,0.173536,1.648981,7.852291,0.000000,0.005134
0.020000,5.708386,13.547101,0.208086,1.806027,7.852291,0.000000,0.006110
0.020000,5.746076,13.547351,0.245777,1.963073,7.852291,0.000000,0.007150
0.020000,5.786907,13.547665,0.286609,2.120119,7.852291,-0.000000,0.008250
0.020000,5.830878,13.548053,0.330581,2.277164,7.852291,0.000000,0.009401
0.020000,5.877989,13.548524,0.377695,2.434210,7.852291,-0.000000,0.010596
0.020000,5.928241,13.549088,0.427950,2.591256,7.852291,0.000000,0.011828
0.020000,5.981632,13.549753,0.481345,2.748302,7.852291,-0.000000,0.013087
0.020000,6.038163,13.550530,0.537882,2.905348,7.852291,0.000000,0.014366
0.020000,6.097834,13.551426,0.597559,3.062394,7.852291,0.000000,0.015655
0.020000,6.160644,13.552450,0.660378,3.219439,7.852291,-0.000000,0.016944
0.020000,6.226593,13.553610,0.726337,3.376485,7.852291,0.000000,0.018222
0.020000,6.295681,13.554913,0.795437,3.533531,7.852291,-0.000000,0.019478
0.020000,6.367907,13.556365,0.867678,3.690577,7.852291,0.000000,0.020701
0.020000,6.443272,13.557970,0.943060,3.847623,7.852291,0.000000,0.021879
0.020000,6.521775,13.559733,1.021583,4.004669,7.852291,0.000000,0.022999
0.020000,6.603417,13.561654,1.103247,4.161714,7.852291,-0.000000,0.024048
0.020000,6.688196,13.563735,1.188052,4.318760,7.852291,0.000000,0.025013
0.020000,6.776113,13.565974,1.275997,4.475806,7.852291,0.000000,0.025879
0.020000,6.866383,13.568345,1.366299,4.554329,3.926146,-196.307281,0.026626
0.020000,6.957016,13.570788,1.456965,4.512284,-2.102232,-301.418886,0.027230
0.020000,7.046023,13.573233,1.546005,4.391717,-6.028378,-196.307281,0.027683
0.020000,7.132253,13.575635,1.632269,4.234671,-7.852291,-91.195676,0.027987
0.020000,7.215344,13.577969,1.715392,4.077625,-7.852291,-0.000000,0.028156
0.020000,7.295294,13.580223,1.795374,3.920579,-7.852291,0.000000,0.028204
0.020000,7.372104,13.582389,1.872215,3.763533,-7.852291,0.000000,0.028143
0.020000,7.445776,13.584457,1.945915,3.606488,-7.852291,-0.000000,0.027986
0.020000,7.516307,13.586424,2.016474,3.449442,-7.852291,0.000000,0.027746
0.020000,7.583700,13.588284,2.083893,3.292396,-7.852291,-0.000000,0.027434
0.020000,7.647954,13.590036,2.148170,3.135350,-7.852291,0.000000,0.027062
0.020000,7.709068,13.591677,2.209307,2.978304,-7.852291,0.000000,0.026641
0.020000,7.767044,13.593209,2.267302,2.821258,-7.852291,-0.000000,0.026180
0.020000,7.821880,13.594632,2.322157,2.664213,-7.852291,0.000000,0.025689
0.020000,7.873577,13.595947,2.373871,2.507167,-7.852291,-0.000000,0.025177
0.020000,7.922135,13.597157,2.422444,2.350121,-7.852291,0.000000,0.024654
0.020000,7.967553,13.598265,2.467876,2.193075,-7.852291,0.000000,0.024127
0.020000,8.009832,13.599275,2.510167,2.036029,-7.852291,0.000000,0.023603
0.020000,8.048972,13.600189,2.549317,1.878984,-7.852291,-0.000000,0.023090
0.020000,8.084971,13.601011,2.585326,1.721938,-7.852291,0.000000,0.022594
0.020000,8.117832,13.601746,2.618194,1.564892,-7.852291,0.000000,0.022121
0.020000,8.147552,13.602397,2.647922,1.407846,-7.852291,0.000000,0.021677
0.020000,8.174132,13.602968,2.674508,1.250800,-7.852291,0.000000,0.021267
0.020000,8.197572,13.603462,2.697954,1.093754,-7.852291,0.000000,0.020895
0.020000,8.217873,13.603883,2.718258,0.936709,-7.852291,0.000000,0.020565
0.020000,8.235033,13.604234,2.735422,0.779663,-7.852291,-0.000000,0.020280
0.020000,8.249053,13.604516,2.749445,0.622617,-7.852291,0.000000,0.020044
0.020000,8.259933,13.604733,2.760327,0.465571,-7.852291,-0.000000,0.019858
0.020000,8.267672,13.604887,2.768068,0.308525,-7.852291,0.000000,0.019724
0.020000,8.272271,13.604977,2.772668,0.151479,-7.852291,-0.000000,0.019644
0.020000,8.274150,13.605014,2.774547,0.036478,-5.750059,105.111605,0.019612
0.020000,8.274515,13.605021,2.774912,0.000000,-1.823914,196.307281,0.019605
0.020000,8.274515,13.605021,2.774912,0.000000,0.000000,91.195676,0.019605
