dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.503975,12.401461,0.000789,0.078947,3.947368,197.368421,0.000787
0.020000,5.503805,12.401461,0.000959,0.008494,-3.522652,-373.501012,0.000638
0.020000,5.503465,12.401461,0.001299,0.016999,0.425210,197.393103,0.000342
0.020000,5.505171,12.401461,0.003005,0.085282,3.414161,149.447529,6.283081
0.020000,5.517121,12.401456,0.014955,0.597496,25.610711,1109.827492,6.282486
0.020000,5.532056,12.401440,0.029890,0.746780,7.464214,-907.324853,6.281739
0.020000,5.549975,12.401406,0.047809,0.895950,7.458510,-0.285161,6.280842
0.020000,5.570877,12.401346,0.068711,1.045072,7.456073,-0.121885,6.279791
0.020000,5.594760,12.401250,0.092594,1.194164,7.454612,-0.073017,6.278584
0.020000,5.621619,12.401108,0.119454,1.342996,7.441610,-0.650129,6.277222
0.020000,5.651454,12.400908,0.149290,1.491776,7.438993,-0.130838,6.275700
0.020000,5.684262,12.400635,0.182099,1.640466,7.434502,-0.224555,6.274016
0.020000,5.720040,12.400274,0.217879,1.788995,7.426445,-0.402846,6.272169
0.020000,5.758784,12.399808,0.256625,1.937305,7.415476,-0.548446,6.270154
0.020000,5.800486,12.399219,0.298332,2.085343,7.401934,-0.677097,6.267968
0.020000,5.845147,12.398486,0.342998,2.233325,7.399067,-0.143340,6.265608
0.020000,5.892759,12.397589,0.390618,2.381007,7.384117,-0.747522,6.263069
0.020000,5.943315,12.396503,0.441187,2.528406,7.369953,-0.708189,6.260348
0.020000,5.996812,12.395204,0.494699,2.675623,7.360849,-0.455199,6.257440
0.020000,6.053241,12.393663,0.551149,2.822490,7.343322,-0.876343,6.254339
0.020000,6.112594,12.391853,0.610530,2.969057,7.328370,-0.747605,6.251041
0.020000,6.174864,12.389742,0.672835,3.115264,7.310340,-0.901510,6.247538
0.020000,6.240041,12.387296,0.738058,3.261144,7.294021,-0.815927,6.243826
0.020000,6.308114,12.384482,0.806190,3.406598,7.272716,-1.065293,6.239896
0.020000,6.379075,12.381261,0.877223,3.551663,7.253248,-0.973355,6.235742
0.020000,6.452909,12.377593,0.951148,3.696246,7.229146,-1.205147,6.231357
0.020000,6.529605,12.373437,1.027957,3.840433,7.209338,-0.990356,6.226730
0.020000,6.609147,12.368748,1.107637,3.984000,7.178353,-1.549275,6.221855
0.020000,6.691521,12.363478,1.190180,4.127154,7.157712,-1.032042,6.216720
0.020000,6.776708,12.357577,1.275571,4.269556,7.120070,-1.882105,6.211317
0.020000,6.864692,12.350992,1.363801,4.411469,7.095636,-1.221704,6.205633
0.020000,6.955449,12.343668,1.454853,4.552620,7.057590,-1.902313,6.199657
0.020000,7.048958,12.335544,1.548714,4.693062,7.022081,-1.775443,6.193377
0.020000,7.145195,12.326559,1.645370,4.832797,6.986743,-1.766884,6.186779
0.020000,7.244133,12.316646,1.744803,4.971648,6.942568,-2.208768,6.179849
0.020000,7.345743,12.305736,1.846997,5.109710,6.903115,-1.972612,6.172572
0.020000,7.449992,12.293756,1.951932,5.246746,6.851788,-2.566378,6.164932
0.020000,7.556846,12.280627,2.059590,5.382904,6.807910,-2.193901,6.156910
0.020000,7.665547,12.266367,2.169223,5.481609,4.935249,-93.633041,6.148546
0.020000,7.774629,12.251115,2.279365,5.507144,1.276752,-182.924870,6.139936
0.020000,7.883352,12.234946,2.389284,5.495942,-0.560145,-91.844829,6.131133
0.020000,7.991701,12.217846,2.498974,5.484491,-0.572530,-0.619269,6.122129
0.020000,8.099660,12.199798,2.608431,5.472846,-0.582233,-0.485136,6.112921
0.020000,8.207208,12.180787,2.717647,5.460802,-0.602191,-0.997920,6.103503
0.020000,8.314329,12.160799,2.826617,5.448475,-0.616388,-0.709817,6.093869
0.020000,8.421002,12.139816,2.935334,5.435858,-0.630852,-0.723222,6.084016
0.020000,8.527208,12.117823,3.043793,5.422947,-0.645534,-0.734105,6.073937
0.020000,8.632926,12.094806,3.151987,5.409739,-0.660375,-0.742049,6.063627
0.020000,8.738135,12.070747,3.259912,5.396233,-0.675307,-0.746605,6.053081
0.020000,8.842813,12.045632,3.367561,5.382428,-0.690253,-0.747293,6.042295
0.020000,8.946937,12.019446,3.474927,5.368326,-0.705125,-0.743606,6.031262
0.020000,9.050485,11.992172,3.582007,5.353982,-0.717174,-0.602448,6.019978
0.020000,9.153433,11.963796,3.688794,5.339373,-0.730451,-0.663835,6.008439
0.020000,9.255756,11.934304,3.795283,5.324425,-0.747430,-0.848951,5.996639
0.020000,9.357429,11.903680,3.901468,5.309253,-0.758579,-0.557467,5.984575
0.020000,9.458429,11.871911,4.007346,5.293910,-0.767150,-0.428539,5.972241
0.020000,9.558726,11.838983,4.112910,5.278211,-0.784969,-0.890949,5.959635
0.020000,9.658298,11.804881,4.218160,5.262484,-0.786309,-0.067003,5.946753
0.020000,9.757115,11.769593,4.323088,5.246409,-0.803752,-0.872148,5.933591
0.020000,9.855151,11.733107,4.427694,5.230297,-0.805627,-0.093725,5.920147
0.020000,9.952379,11.695409,4.531974,5.214011,-0.814277,-0.432496,5.906418
0.020000,10.048770,11.656490,4.635926,5.197604,-0.820383,-0.305307,5.892404
0.020000,10.144299,11.616337,4.739550,5.181187,-0.820854,-0.023572,5.878102
0.020000,10.238936,11.574940,4.842845,5.164759,-0.821385,-0.026562,5.863513
