dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.152889,10.397126,0.000800,0.080000,4.000000,200.000000,0.018358
0.020000,2.162380,10.397261,0.010292,0.474622,19.731077,786.553854,0.010068
0.020000,2.183781,10.397287,0.031694,1.070054,29.771603,502.026296,6.276746
0.020000,2.221469,10.396581,0.069387,1.884692,40.731931,548.016407,6.252208
0.020000,2.271109,10.394242,0.119082,2.484746,30.002695,-536.461802,6.219984
0.020000,2.331963,10.389185,0.180147,3.053226,28.423982,-78.935645,6.180622
0.020000,2.402932,10.380234,0.251678,3.576546,26.166031,-112.897572,6.134910
0.020000,2.482530,10.366255,0.332494,4.040806,23.212990,-147.652037,6.083883
0.020000,2.568869,10.346321,0.421104,4.430512,19.485312,-186.383913,6.028841
0.020000,2.659853,10.319835,0.515864,4.738020,15.375391,-205.496046,5.971222
0.020000,2.753312,10.286622,0.615050,4.959270,11.062488,-215.645153,5.912529
0.020000,2.847286,10.246888,0.717079,5.101444,7.108704,-197.689197,5.854150
0.020000,2.940131,10.201156,0.820576,5.174848,3.670200,-171.925188,5.797283
0.020000,3.030667,10.150114,0.924508,5.196631,1.089163,-129.051849,5.742838
0.020000,3.118101,10.094528,1.028117,5.180410,-0.811079,-95.012108,5.691461
0.020000,3.202124,10.035053,1.131059,5.147109,-1.665061,-42.699073,5.643477
0.020000,3.282600,9.972313,1.233101,5.102138,-2.248517,-29.172830,5.599057
0.020000,3.359709,9.906723,1.334333,5.061562,-2.028786,10.986564,5.558147
0.020000,3.433699,9.838611,1.434901,5.028400,-1.658131,18.532720,5.520615
0.020000,3.504886,9.768189,1.535035,5.006702,-1.084869,28.663110,5.486258
0.020000,3.573608,9.695583,1.635006,4.998552,-0.407527,33.867134,5.454839
0.020000,3.640198,9.620854,1.735099,5.004659,0.305333,35.642968,5.426108
0.020000,3.704968,9.544014,1.835596,5.024853,1.009732,35.219935,5.399820
0.020000,3.768204,9.465043,1.936765,5.058445,1.679588,33.492832,5.375741
0.020000,3.830161,9.383903,2.038854,5.104467,2.301096,31.075380,5.353657
0.020000,3.891059,9.300548,2.142086,5.161590,2.856137,27.752049,5.333370
0.020000,3.951087,9.214934,2.246648,5.228074,3.324207,23.403510,5.314705
0.020000,4.010430,9.126986,2.352743,5.304795,3.836078,25.593558,5.297500
0.020000,4.069237,9.036646,2.460538,5.389732,4.246851,20.538625,5.281613
0.020000,4.127633,8.943866,2.570166,5.481404,4.583595,16.837208,5.266918
