dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.173908,9.252319,0.000800,0.080000,4.000000,200.000000,0.018358
0.020000,2.173908,9.252319,0.004000,0.240000,8.000000,200.000000,0.010068
0.020000,2.176408,9.252311,0.010400,0.400000,8.000000,0.000000,6.276746
0.020000,2.186006,9.252131,0.020000,0.560000,8.000000,0.000000,6.252208
0.020000,2.198791,9.251528,0.032800,0.720000,8.000000,-0.000000,6.219984
0.020000,2.214734,9.250202,0.048800,0.880000,8.000000,0.000000,6.180622
0.020000,2.233778,9.247798,0.068000,1.040000,8.000000,0.000000,6.134910
0.020000,2.255837,9.243920,0.090400,1.200000,8.000000,0.000000,6.083883
0.020000,2.280774,9.238157,0.116000,1.360000,8.000000,-0.000000,6.028841
0.020000,2.308421,9.230101,0.144800,1.520000,8.000000,0.000000,5.971222
0.020000,2.338562,9.219379,0.176800,1.680000,8.000000,0.000000,5.912529
0.020000,2.370973,9.205662,0.212000,1.840000,8.000000,-0.000000,5.854150
0.020000,2.405409,9.188685,0.250400,2.000000,8.000000,0.000000,5.797283
0.020000,2.441639,9.168243,0.292000,2.160000,8.000000,0.000000,5.742838
0.020000,2.479428,9.144201,0.336800,2.320000,8.000000,-0.000000,5.691461
0.020000,2.518603,9.116454,0.384800,2.480000,8.000000,0.000000,5.643477
0.020000,2.558962,9.084972,0.436000,2.640000,8.000000,0.000000,5.599057
0.020000,2.600386,9.049720,0.490400,2.800000,8.000000,-0.000000,5.558147
0.020000,2.642754,9.010703,0.548000,2.960000,8.000000,0.000000,5.520615
0.020000,2.685969,8.967939,0.608800,3.120000,8.000000,0.000000,5.486258
0.020000,2.729956,8.921455,0.672800,3.280000,8.000000,-0.000000,5.454839
0.020000,2.774655,8.871280,0.740000,3.440000,8.000000,0.000000,5.426108
0.020000,2.820022,8.817450,0.810400,3.600000,8.000000,-0.000000,5.399820
0.020000,2.866022,8.759996,0.884000,3.760000,8.000000,0.000000,5.375741
0.020000,2.912628,8.698951,0.960800,3.920000,8.000000,-0.000000,5.353657
0.020000,2.959821,8.634349,1.040800,4.080000,8.000000,0.000000,5.333370
0.020000,3.007578,8.566231,1.124000,4.240000,8.000000,0.000000,5.314705
0.020000,3.055900,8.494612,1.210400,4.400000,8.000000,-0.000000,5.297500
0.020000,3.104781,8.419516,1.300000,4.560000,8.000000,0.000000,5.281613
0.020000,3.154213,8.340974,1.392800,4.720000,8.000000,-0.000000,5.266918
0.020000,3.204191,8.259018,1.488800,4.880000,8.000000,0.000000,5.253305
0.020000,3.254725,8.173650,1.588000,5.040000,8.000000,0.000000,5.240672
0.020000,3.305811,8.084904,1.690400,5.200000,8.000000,0.000000,5.228933
0.020000,3.357452,7.992796,1.796000,5.360000,8.000000,-0.000000,5.218009
0.020000,3.409659,7.897332,1.904800,5.520000,8.000000,0.000000,5.207829
0.020000,3.462427,7.798550,2.016800,5.680000,8.000000,-0.000000,5.198334
0.020000,3.515774,7.696439,2.132000,5.840000,8.000000,0.000000,5.189466
0.020000,3.569695,7.591036,2.250400,6.000000,8.000000,0.000000,5.181178
0.020000,3.624208,7.482338,2.372000,6.160000,8.000000,0.000000,5.173424
0.020000,3.679318,7.370362,2.496800,6.320000,8.000000,-0.000000,5.166167
0.020000,3.735029,7.255127,2.624800,6.480000,8.000000,0.000000,5.159372
0.020000,3.791359,7.136631,2.756000,6.640000,8.000000,-0.000000,5.153006
0.020000,3.848314,7.014891,2.890400,6.800000,8.000000,-0.000000,5.147041
0.020000,3.905900,6.889926,3.028000,6.960000,8.000000,0.000000,5.141453
0.020000,3.964135,6.761735,3.168800,7.120000,8.000000,0.000000,5.136218
0.020000,4.023029,6.630329,3.312800,7.280000,8.000000,-0.000000,5.131317
0.020000,4.082595,6.495718,3.460000,7.440000,8.000000,0.000000,5.126731
0.020000,4.142845,6.357913,3.610400,7.600000,8.000000,0.000000,5.122445
0.020000,4.203793,6.216922,3.764000,7.760000,8.000000,0.000000,5.118443
0.020000,4.265454,6.072755,3.920800,7.920000,8.000000,0.000000,5.114713
0.020000,4.327844,5.925420,4.080800,8.080000,8.000000,0.000000,5.111244
0.020000,4.390979,5.774926,4.244000,8.240000,8.000000,0.000000,5.108026
0.020000,4.454878,5.621280,4.410400,8.400000,8.000000,-0.000000,5.105051
0.020000,4.519557,5.464498,4.580000,8.560000,8.000000,0.000000,5.102310
0.020000,4.585036,5.304586,4.752800,8.720000,8.000000,-0.000000,5.099799
0.020000,4.651338,5.141548,4.928800,8.880000,8.000000,-0.000000,5.097512
0.020000,4.718483,4.975406,5.108000,9.040000,8.000000,0.000000,5.095445
0.020000,4.786497,4.806158,5.290400,9.200000,8.000000,0.000000,5.093596
0.020000,4.855403,4.633825,5.476000,9.360000,8.000000,-0.000000,5.091964
0.020000,4.925231,4.458412,5.664800,9.520000,8.000000,0.000000,5.090548
0.020000,4.996010,4.279932,5.856800,9.680000,8.000000,0.000000,5.089350
0.020000,5.067770,4.098400,6.052000,9.840000,8.000000,0.000000,5.088371
0.020000,5.140547,3.913830,6.250400,10.000000,8.000000,0.000000,5.087616
0.020000,5.214377,3.726235,6.452000,10.160000,8.000000,0.000000,5.087091
