dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.194927,8.107512,0.000800,0.080000,4.000000,200.000000,0.018358
0.020000,2.185435,8.107377,0.010292,0.474622,19.731077,786.553854,0.010068
0.020000,2.169035,8.107334,0.026692,0.820000,17.268899,-123.108884,6.276746
0.020000,2.150542,8.107680,0.045189,0.924818,5.240943,-601.397808,6.252208
0.020000,2.126474,8.108814,0.069284,1.204749,13.996549,437.780297,6.219984
0.020000,2.097505,8.111219,0.098352,1.453418,12.433452,-78.154851,6.180622
0.020000,2.064624,8.115362,0.131493,1.657047,10.181451,-112.600054,6.134910
0.020000,2.029144,8.121586,0.167515,1.801091,7.202183,-148.963424,6.083883
0.020000,1.992680,8.129993,0.204936,1.871060,3.498431,-185.187559,6.028841
0.020000,1.956989,8.140367,0.242104,1.858413,-0.632331,-206.538127,5.971222
0.020000,1.923812,8.152136,0.277306,1.760089,-4.916188,-214.192836,5.912529
0.020000,1.894660,8.164436,0.308947,1.582049,-8.902019,-199.291572,5.854150
0.020000,1.870686,8.176214,0.335658,1.335531,-12.325894,-171.193729,5.797283
0.020000,1.852612,8.186371,0.356390,1.036629,-14.945125,-130.961571,5.742838
0.020000,1.840755,8.193874,0.370422,0.701568,-16.753048,-90.396151,5.691461
0.020000,1.835082,8.197855,0.377353,0.346545,-17.751116,-49.903387,5.643477
0.020000,1.835325,8.197631,0.377683,0.016527,-16.500903,62.510650,5.599057
0.020000,1.841064,8.192717,0.385238,0.377764,18.061824,1728.136375,5.558147
0.020000,1.851809,8.182796,0.399863,0.731233,17.673445,-19.418962,5.520615
0.020000,1.867052,8.167690,0.421323,1.073014,17.089063,-29.219109,5.486258
0.020000,1.886303,8.147326,0.449347,1.401166,16.407598,-34.073234,5.454839
0.020000,1.909112,8.121707,0.483648,1.715070,15.695192,-35.620322,5.426108
0.020000,1.935075,8.090886,0.523947,2.014953,14.994144,-35.052392,5.399820
0.020000,1.963839,8.054949,0.569978,2.301542,14.329453,-33.234563,5.375741
0.020000,1.995096,8.013998,0.621494,2.575827,13.714261,-30.759586,5.353657
0.020000,2.028583,7.968150,0.678270,2.838766,13.146943,-28.365930,5.333370
0.020000,2.064069,7.917528,0.740091,3.091039,12.613673,-26.663455,5.314705
0.020000,2.101370,7.862237,0.806787,3.334843,12.190169,-21.175200,5.297500
0.020000,2.140325,7.802385,0.878200,3.570623,11.789017,-20.057619,5.281613
0.020000,2.180793,7.738082,0.954177,3.798875,11.412599,-18.820890,5.266918
0.020000,2.222654,7.669432,1.034583,4.020300,11.071238,-17.068063,5.253305
0.020000,2.265819,7.596511,1.119323,4.236960,10.833029,-11.910450,5.240672
0.020000,2.310198,7.519413,1.208281,4.447904,10.547182,-14.292340,5.228933
0.020000,2.355721,7.438215,1.301369,4.654420,10.325809,-11.068682,5.218009
0.020000,2.402334,7.352978,1.398520,4.857540,10.155973,-8.491759,5.207829
0.020000,2.449979,7.263784,1.499641,5.056034,9.924708,-11.563252,5.198334
0.020000,2.498623,7.170673,1.604693,5.252643,9.830444,-4.713210,5.189466
0.020000,2.548222,7.073719,1.713598,5.445216,9.628673,-10.088568,5.181178
