dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001099,1.144999,0.000789,0.078947,3.947368,197.368421,6.282226
0.020000,0.000918,1.145000,0.000970,0.009024,-3.496191,-372.177968,6.282383
0.020000,0.000557,1.145000,0.001331,0.018056,0.451605,197.389798,6.282699
0.020000,0.000015,1.145000,0.001873,0.027105,0.452461,0.042788,6.283172
0.020000,0.011662,1.145004,0.013520,0.582341,27.761825,1365.468212,0.000619
0.020000,0.026545,1.145019,0.028403,0.744141,8.089991,-983.591711,0.001411
0.020000,0.044401,1.145052,0.046259,0.892818,7.433863,-32.806395,0.002364
0.020000,0.065230,1.145113,0.067088,1.041440,7.431089,-0.138688,0.003479
0.020000,0.089028,1.145211,0.090886,1.189921,7.424052,-0.351841,0.004757
0.020000,0.115794,1.145358,0.117653,1.338329,7.420385,-0.183346,0.006202
0.020000,0.145527,1.145566,0.147386,1.486668,7.416956,-0.171485,0.007814
0.020000,0.178222,1.145851,0.180083,1.634830,7.408074,-0.444069,0.009597
0.020000,0.213876,1.146228,0.215739,1.782801,7.398565,-0.475487,0.011552
0.020000,0.252486,1.146715,0.254352,1.930645,7.392227,-0.316887,0.013683
0.020000,0.294047,1.147332,0.295917,2.078272,7.381345,-0.544112,0.015992
0.020000,0.338555,1.148099,0.340432,2.225728,7.372803,-0.427057,0.018484
0.020000,0.386006,1.149040,0.387893,2.373033,7.365222,-0.379096,0.021162
0.020000,0.436394,1.150178,0.438293,2.520032,7.349944,-0.763895,0.024030
0.020000,0.489712,1.151541,0.491628,2.666758,7.336334,-0.680472,0.027093
0.020000,0.545954,1.153157,0.547893,2.813253,7.324717,-0.580868,0.030355
0.020000,0.605111,1.155056,0.607082,2.959414,7.308063,-0.832679,0.033821
0.020000,0.667178,1.157270,0.669187,3.105283,7.293439,-0.731222,0.037498
0.020000,0.732144,1.159833,0.734205,3.250870,7.279365,-0.703702,0.041390
0.020000,0.800001,1.162783,0.802126,3.396057,7.259330,-1.001735,0.045505
0.020000,0.870737,1.166158,0.872942,3.540817,7.238041,-1.064433,0.049848
0.020000,0.944341,1.169998,0.946646,3.685182,7.218248,-0.989685,0.054427
0.020000,1.020798,1.174348,1.023227,3.829036,7.192686,-1.278092,0.059250
0.020000,1.100101,1.179254,1.102681,3.972710,7.183689,-0.449870,0.064325
0.020000,1.182227,1.184764,1.184992,4.115538,7.141401,-2.114376,0.069661
0.020000,1.267163,1.190929,1.270151,4.257980,7.122108,-0.964629,0.075267
0.020000,1.354892,1.197803,1.358149,4.399907,7.096323,-1.289288,0.081153
0.020000,1.445394,1.205445,1.448973,4.541185,7.063906,-1.620819,0.087329
0.020000,1.538644,1.213912,1.542607,4.681679,7.024740,-1.958299,0.093806
0.020000,1.634625,1.223270,1.639043,4.821819,7.007000,-0.886999,0.100597
0.020000,1.733307,1.233585,1.738262,4.960975,6.957767,-2.461688,0.107714
0.020000,1.834663,1.244926,1.840251,5.099419,6.922211,-1.777793,0.115171
0.020000,1.938661,1.257367,1.944991,5.237004,6.879270,-2.147028,0.122980
0.020000,2.045275,1.270986,2.052471,5.373984,6.848955,-1.515740,0.131159
0.020000,2.153743,1.285763,2.161941,5.473538,4.977723,-93.561613,0.139664
0.020000,2.262607,1.301550,2.271944,5.500114,1.328820,-182.445177,0.148394
0.020000,2.371133,1.318266,2.381750,5.490309,-0.490280,-90.954956,0.157297
0.020000,2.479306,1.335925,2.491355,5.480238,-0.503544,-0.663226,0.166376
0.020000,2.587109,1.354540,2.600753,5.469936,-0.515113,-0.578462,0.175635
0.020000,2.694527,1.374125,2.709942,5.459438,-0.524896,-0.489141,0.185077
0.020000,2.801544,1.394692,2.818917,5.448741,-0.534829,-0.496641,0.194705
0.020000,2.908141,1.416256,2.927674,5.437844,-0.544861,-0.501596,0.204524
0.020000,3.014303,1.438829,3.036209,5.426745,-0.554935,-0.503716,0.214536
0.020000,3.120011,1.462426,3.144518,5.415493,-0.562608,-0.383664,0.224745
0.020000,3.225248,1.487059,3.252600,5.404085,-0.570407,-0.389923,0.235155
0.020000,3.329994,1.512741,3.360448,5.392415,-0.583501,-0.654725,0.245767
0.020000,3.434229,1.539485,3.468060,5.380552,-0.593151,-0.482492,0.256586
0.020000,3.537935,1.567304,3.575432,5.368620,-0.596577,-0.171267,0.267614
0.020000,3.641092,1.596211,3.682562,5.356515,-0.605255,-0.433897,0.278854
0.020000,3.743676,1.626217,3.789445,5.344154,-0.618051,-0.639844,0.290308
0.020000,3.845673,1.657335,3.896083,5.331888,-0.613294,0.237877,0.301979
0.020000,3.947055,1.689576,4.002468,5.319255,-0.631687,-0.919673,0.313868
