dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001099,-1.144999,0.000789,0.078947,3.947368,197.368421,6.282226
0.020000,-0.000918,-1.145000,0.000970,0.009024,-3.496191,-372.177968,6.282383
0.020000,-0.000557,-1.145000,0.001331,0.018056,0.451605,197.389798,6.282699
0.020000,-0.000015,-1.145000,0.001873,0.027105,0.452461,0.042788,6.283172
0.020000,0.013080,-1.144996,0.014968,0.654736,31.381576,1546.455774,0.000619
0.020000,0.029776,-1.144979,0.031664,0.834812,9.003760,-1118.890789,0.001411
0.020000,0.049814,-1.144941,0.051702,1.001906,8.354726,-32.451725,0.002364
0.020000,0.073196,-1.144873,0.075084,1.169104,8.359919,0.259630,0.003479
0.020000,0.099923,-1.144763,0.101811,1.336340,8.361776,0.092862,0.004757
0.020000,0.129996,-1.144598,0.131885,1.503718,8.368898,0.356106,0.006202
0.020000,0.163421,-1.144364,0.165311,1.671274,8.377809,0.445575,0.007814
0.020000,0.200198,-1.144044,0.202089,1.838917,8.382155,0.217260,0.009597
0.020000,0.240329,-1.143619,0.242223,2.006665,8.387394,0.261982,0.011552
0.020000,0.283818,-1.143071,0.285715,2.174622,8.397861,0.523347,0.013683
0.020000,0.330667,-1.142376,0.332569,2.342721,8.404927,0.353301,0.015992
0.020000,0.380881,-1.141510,0.382790,2.511049,8.416410,0.574139,0.018484
0.020000,0.434464,-1.140448,0.436384,2.679666,8.430833,0.721151,0.021162
0.020000,0.491418,-1.139161,0.493352,2.848436,8.438495,0.383107,0.024030
0.020000,0.551747,-1.137618,0.553701,3.017436,8.450041,0.577306,0.027093
0.020000,0.615456,-1.135788,0.617436,3.186755,8.465941,0.795008,0.030355
0.020000,0.682548,-1.133635,0.684563,3.356322,8.478336,0.619735,0.033821
0.020000,0.753027,-1.131120,0.755087,3.526229,8.495330,0.849685,0.037498
0.020000,0.826901,-1.128205,0.829018,3.696536,8.515375,1.002238,0.041390
0.020000,0.904171,-1.124846,0.906361,3.867160,8.531186,0.790577,0.045505
0.020000,0.984842,-1.120998,0.987124,4.038124,8.548226,0.851975,0.049848
0.020000,1.068918,-1.116611,1.071314,4.209520,8.569772,1.077294,0.054427
0.020000,1.156402,-1.111633,1.158940,4.381273,8.587679,0.895360,0.059250
0.020000,1.247304,-1.106010,1.250016,4.553827,8.627681,2.000122,0.064325
0.020000,1.341622,-1.099682,1.344546,4.726484,8.632830,0.257456,0.069661
0.020000,1.439362,-1.092588,1.442543,4.899839,8.667781,1.747554,0.075267
0.020000,1.540528,-1.084660,1.544019,5.073818,8.698962,1.559030,0.081153
0.020000,1.645123,-1.075829,1.648986,5.248346,8.726354,1.369600,0.087329
0.020000,1.753145,-1.066020,1.757453,5.423345,8.749959,1.180254,0.093806
0.020000,1.864604,-1.055152,1.869441,5.599398,8.802675,2.635776,0.100597
0.020000,1.979496,-1.043143,1.984958,5.775866,8.823373,1.034941,0.107714
0.020000,2.097821,-1.029903,2.104021,5.953158,8.864637,2.063155,0.115171
0.020000,2.219576,-1.015338,2.226645,6.131203,8.902245,1.880411,0.122980
0.020000,2.344767,-0.999345,2.352853,6.310401,8.959872,2.881384,0.131159
0.020000,2.472535,-0.981939,2.481802,6.447424,6.851165,-105.435386,0.139664
0.020000,2.601184,-0.963282,2.611796,6.499726,2.615111,-211.802710,0.148394
0.020000,2.729860,-0.943462,2.741990,6.509687,0.498035,-105.853752,0.157297
0.020000,2.858552,-0.922453,2.872386,6.519780,0.504666,0.331537,0.166376
0.020000,2.987249,-0.900230,3.002987,6.530045,0.513226,0.427992,0.175635
0.020000,3.115938,-0.876767,3.133797,6.540521,0.523788,0.528101,0.185077
0.020000,3.244607,-0.852038,3.264821,6.551200,0.533980,0.509590,0.194705
0.020000,3.373243,-0.826016,3.396062,6.562076,0.543774,0.489696,0.204524
0.020000,3.501831,-0.798673,3.527525,6.573138,0.553141,0.468364,0.214536
0.020000,3.630356,-0.769983,3.659214,6.584438,0.564952,0.590550,0.224745
0.020000,3.758803,-0.739917,3.791133,6.595959,0.576059,0.555332,0.235155
0.020000,3.887153,-0.708447,3.923284,6.607558,0.579985,0.196315,0.245767
0.020000,4.015385,-0.675545,4.055670,6.619303,0.587239,0.362709,0.256586
0.020000,4.143483,-0.641182,4.188297,6.631327,0.601196,0.697835,0.267614
0.020000,4.271424,-0.605330,4.321167,6.643479,0.607589,0.319634,0.278854
0.020000,4.399183,-0.567960,4.454279,6.655629,0.607527,-0.003058,0.290308
0.020000,4.526742,-0.529042,4.587643,6.668187,0.627881,1.017690,0.301979
0.020000,4.654069,-0.488549,4.721254,6.680541,0.617686,-0.509758,0.313868
